"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.09.2024","35,77","35,74","35,98","35,57","13,47M","-0,45%"
"20.09.2024","35,93","36,32","36,48","35,91","30,56M","-1,09%"
"19.09.2024","36,33","36,53","36,60","36,10","","-0,27%"
"18.09.2024","36,43","36,58","36,75","36,29","","-0,57%"
"17.09.2024","36,63","36,63","36,70","36,39","","-0,24%"
"16.09.2024","36,72","36,78","36,94","36,56","","-0,77%"
"13.09.2024","37,01","37,16","37,33","36,58","20,22M","0,11%"
"12.09.2024","36,97","37,21","37,28","36,70","14,37M","-1,10%"
"11.09.2024","37,38","37,38","37,54","37,14","19,65M","0,19%"
"10.09.2024","37,31","37,05","37,38","37,02","13,31M","0,00%"
"09.09.2024","37,31","37,02","37,45","36,97","13,64M","0,97%"
"06.09.2024","36,95","37,58","37,58","36,87","15,92M","-1,41%"
"05.09.2024","37,48","37,30","37,60","37,14","11,56M","0,64%"
"04.09.2024","37,24","37,15","37,79","37,02","20,26M","0,70%"
"03.09.2024","36,98","36,49","36,99","36,36","15,70M","1,62%"
"02.09.2024","36,39","36,57","36,70","36,34","10,12M","-0,80%"
"30.08.2024","36,68","36,81","36,95","36,39","61,64M","-0,70%"
"29.08.2024","36,94","37,17","37,36","36,94","22,21M","-1,10%"
"28.08.2024","37,35","36,34","37,45","36,21","31,86M","2,16%"
"27.08.2024","36,56","36,51","36,69","36,31","14,64M","0,11%"
"26.08.2024","36,52","36,51","36,62","36,24","14,36M","0,22%"
"23.08.2024","36,44","36,77","37,03","36,35","21,74M","-0,76%"
"22.08.2024","36,72","36,30","36,73","36,28","21,41M","-0,92%"
"21.08.2024","37,06","37,31","37,36","36,89","14,07M","-0,40%"
"20.08.2024","37,21","36,98","37,34","36,72","15,73M","0,73%"
"19.08.2024","36,94","36,86","37,24","36,76","22,21M","0,60%"
"16.08.2024","36,72","37,22","37,47","36,62","34,37M","-0,84%"
"15.08.2024","37,03","36,65","37,07","36,54","32,58M","1,59%"
"14.08.2024","36,45","35,57","36,76","35,57","54,18M","2,47%"
"13.08.2024","35,57","34,83","35,57","34,69","39,52M","2,83%"
"12.08.2024","34,59","34,65","34,80","34,45","20,69M","0,14%"
"09.08.2024","34,54","33,78","34,54","33,73","23,86M","2,70%"
"08.08.2024","33,63","33,83","34,12","33,52","19,57M","-0,36%"
"07.08.2024","33,75","34,03","34,16","33,05","40,65M","0,27%"
"06.08.2024","33,66","32,99","33,92","32,99","25,75M","2,22%"
"05.08.2024","32,93","32,43","33,01","32,33","26,44M","0,00%"
"02.08.2024","32,93","33,47","33,52","32,77","24,05M","-1,26%"
"01.08.2024","33,35","34,00","34,10","33,25","22,57M","-1,45%"
"31.07.2024","33,85","34,23","34,38","33,82","25,14M","-1,40%"
"30.07.2024","34,33","34,39","34,48","34,11","17,62M","-0,38%"
"29.07.2024","34,46","34,25","34,58","34,22","15,12M","0,73%"
"26.07.2024","34,21","33,89","34,31","33,89","11,18M","0,74%"
"25.07.2024","33,96","34,04","34,18","33,81","19,80M","-0,44%"
"24.07.2024","34,11","34,27","34,30","34,02","15,76M","-0,15%"
"23.07.2024","34,16","34,18","34,37","34,07","16,88M","-0,15%"
"22.07.2024","34,21","34,25","34,42","34,14","12,29M","-0,06%"
"19.07.2024","34,23","34,12","34,59","34,03","23,70M","0,76%"
"18.07.2024","33,97","34,04","34,18","33,74","15,63M","-0,47%"
"17.07.2024","34,13","33,69","34,22","33,58","16,27M","1,09%"
