"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.09.2024","51,57","52,05","52,05","51,19","6,68M","-1,47%"
"20.09.2024","52,34","52,52","52,67","52,02","7,13M","-0,44%"
"19.09.2024","52,57","52,51","52,90","52,39","","-0,06%"
"18.09.2024","52,60","53,02","53,51","52,43","","-1,29%"
"17.09.2024","53,29","52,83","53,54","52,53","","0,51%"
"16.09.2024","53,02","54,33","54,43","52,83","","-2,34%"
"13.09.2024","54,29","54,39","54,98","54,16","2,67M","-0,18%"
"12.09.2024","54,39","54,75","55,31","54,20","3,52M","-1,32%"
"11.09.2024","55,12","55,17","55,45","54,58","6,95M","-0,14%"
"10.09.2024","55,20","54,11","55,56","54,05","5,43M","2,00%"
"09.09.2024","54,12","54,36","54,65","54,01","2,95M","-0,46%"
"06.09.2024","54,37","55,13","55,42","54,24","3,78M","-1,65%"
"05.09.2024","55,28","55,10","55,47","54,51","4,78M","-0,18%"
"04.09.2024","55,38","54,91","55,99","54,60","4,69M","1,45%"
"03.09.2024","54,59","54,86","55,11","54,11","4,99M","-0,91%"
"02.09.2024","55,09","54,73","55,98","54,73","3,70M","0,16%"
"30.08.2024","55,00","55,34","55,91","54,73","11,32M","-0,90%"
"29.08.2024","55,50","56,08","56,40","55,20","4,55M","-1,03%"
"28.08.2024","56,08","55,50","56,26","55,40","4,84M","0,83%"
"27.08.2024","55,62","55,30","55,80","54,80","4,18M","0,80%"
"26.08.2024","55,18","56,20","56,38","55,06","6,13M","-1,60%"
"23.08.2024","56,08","56,41","56,53","55,65","5,09M","-0,58%"
"22.08.2024","56,41","56,44","57,09","56,01","4,13M","-0,09%"
"21.08.2024","56,46","56,07","56,92","56,02","4,68M","1,06%"
"20.08.2024","55,87","55,10","56,13","54,88","5,08M","1,51%"
"19.08.2024","55,04","54,48","55,30","54,41","4,61M","1,16%"
"16.08.2024","54,41","53,51","54,50","53,50","7,23M","1,55%"
"15.08.2024","53,58","54,97","54,99","53,28","7,67M","-2,05%"
"14.08.2024","54,70","54,51","55,00","54,36","6,57M","0,29%"
"13.08.2024","54,54","54,58","55,27","54,27","7,42M","0,28%"
"12.08.2024","54,39","54,50","54,93","53,81","6,62M","-0,20%"
"09.08.2024","54,50","55,23","55,69","54,01","17,55M","1,68%"
"08.08.2024","53,60","51,90","54,08","51,72","7,34M","2,68%"
"07.08.2024","52,20","51,79","52,77","51,33","6,13M","0,60%"
"06.08.2024","51,89","52,86","52,94","51,68","10,68M","-2,15%"
"05.08.2024","53,03","52,14","53,16","51,71","5,98M","0,06%"
"02.08.2024","53,00","53,00","54,06","52,89","8,27M","-1,49%"
"01.08.2024","53,80","53,74","54,67","53,34","5,09M","-0,11%"
"31.07.2024","53,86","53,43","54,04","52,71","5,63M","0,82%"
"30.07.2024","53,42","52,80","53,73","52,18","7,13M","1,21%"
"29.07.2024","52,78","51,72","53,26","51,45","5,16M","1,91%"
"26.07.2024","51,79","52,50","52,59","51,67","8,08M","-1,30%"
"25.07.2024","52,47","53,21","54,16","52,40","6,96M","-1,06%"
"24.07.2024","53,03","53,22","53,47","52,73","5,63M","-0,15%"
"23.07.2024","53,11","53,14","53,89","52,91","5,38M","-0,32%"
"22.07.2024","53,28","53,65","53,94","52,72","7,28M","-0,60%"
"19.07.2024","53,60","54,11","54,14","53,43","6,22M","-0,52%"
"18.07.2024","53,88","54,32","54,66","53,68","5,80M","-0,54%"
"17.07.2024","54,17","53,91","54,92","53,86","5,17M","0,02%"
"16.07.2024","54,16","54,50","55,19","54,05","5,56M","-0,07%"
"15.07.2024","54,20","52,58","54,81","52,58","14,24M","3,63%"
"12.07.2024","52,30","53,05","53,56","52,04","6,78M","-1,34%"
"11.07.2024","53,01","52,55","53,37","52,28","4,25M","1,07%"
"10.07.2024","52,45","52,95","53,08","52,05","8,73M","-0,72%"
"09.07.2024","52,83","53,23","53,60","52,60","7,55M","-0,73%"
"08.07.2024","53,22","54,62","54,69","53,14","13,56M","-2,79%"
"05.07.2024","54,75","56,89","56,89","54,56","17,03M","-3,95%"
"04.07.2024","57,00","57,73","57,73","56,00","9,53M","-0,59%"
"03.07.2024","57,34","57,62","58,12","56,37","9,68M","-0,45%"
"02.07.2024","57,60","57,50","58,09","57,06","7,25M","-0,09%"
"01.07.2024","57,65","57,17","57,94","57,07","7,50M","1,12%"
"28.06.2024","57,01","57,50","57,56","56,23","14,96M","0,02%"
"27.06.2024","57,00","59,09","59,09","56,51","35,94M","12,18%"
"26.06.2024","50,81","49,59","51,44","49,53","9,51M","2,23%"
"25.06.2024","49,70","49,75","50,26","49,50","4,68M","0,14%"
"24.06.2024","49,63","48,75","49,90","48,75","6,22M","1,60%"
"21.06.2024","48,85","48,15","49,13","47,92","13,71M","1,45%"
"20.06.2024","48,15","48,98","49,24","48,04","5,22M","-1,19%"
"19.06.2024","48,73","48,21","48,73","47,85","4,29M","0,89%"
"18.06.2024","48,30","48,64","49,12","48,16","6,18M","-0,43%"
"17.06.2024","48,51","48,90","48,98","48,35","3,98M","-0,94%"
"14.06.2024","48,97","48,70","49,18","48,08","5,53M","0,41%"
"13.06.2024","48,77","49,10","49,39","48,75","4,79M","-0,47%"
"12.06.2024","49,00","49,22","49,64","48,25","9,23M","0,16%"
"11.06.2024","48,92","49,80","49,80","48,87","5,38M","-1,55%"
"10.06.2024","49,69","48,61","49,94","48,16","7,43M","2,14%"
"07.06.2024","48,65","48,69","50,12","48,12","10,50M","0,62%"
"06.06.2024","48,35","46,70","48,55","46,45","11,15M","3,67%"
"05.06.2024","46,64","46,85","46,93","46,38","7,03M","-0,55%"
"04.06.2024","46,90","46,95","47,10","46,18","9,32M","-0,45%"
"03.06.2024","47,11","48,70","48,80","46,87","11,34M","-3,26%"
"31.05.2024","48,70","49,30","49,60","48,63","10,49M","-1,18%"
"29.05.2024","49,28","48,93","49,70","48,51","5,11M","0,41%"
"28.05.2024","49,08","49,50","49,67","48,91","5,98M","0,16%"
"27.05.2024","49,00","49,48","49,48","48,65","2,93M","0,12%"
"24.05.2024","48,94","49,59","50,24","48,80","11,23M","-2,32%"
"23.05.2024","50,10","48,59","50,90","47,74","22,73M","3,68%"
"22.05.2024","48,32","49,02","49,22","48,10","10,53M","-1,69%"
"21.05.2024","49,15","50,49","50,61","48,90","17,96M","-3,72%"
"20.05.2024","51,05","51,78","52,59","51,05","12,44M","-0,78%"
"17.05.2024","51,45","51,37","51,72","50,96","10,56M","0,16%"
"16.05.2024","51,37","50,83","51,78","50,54","13,14M","1,64%"
"15.05.2024","50,54","49,83","51,09","49,71","16,44M","1,36%"
"14.05.2024","49,86","50,99","51,49","49,80","13,11M","-1,66%"
"13.05.2024","50,70","51,76","51,84","50,12","16,94M","-1,93%"
"10.05.2024","51,70","51,05","53,35","50,05","18,09M","-1,90%"
"09.05.2024","52,70","52,47","53,00","51,70","18,81M","0,73%"
"08.05.2024","52,32","53,22","54,23","52,20","31,95M","0,27%"
"07.05.2024","52,18","59,43","59,95","51,56","54,23M","-12,27%"
"06.05.2024","59,48","59,25","59,81","58,88","2,91M","0,52%"
"03.05.2024","59,17","59,21","59,22","58,61","3,74M","0,27%"
"02.05.2024","59,01","59,04","59,40","58,50","4,07M","0,94%"
"30.04.2024","58,46","58,92","59,21","58,10","7,42M","-0,75%"
"29.04.2024","58,90","59,58","59,66","58,55","5,76M","-1,14%"
"26.04.2024","59,58","60,10","60,67","59,46","3,97M","-0,53%"
"25.04.2024","59,90","60,18","60,93","59,78","5,03M","-1,09%"
"24.04.2024","60,56","60,29","60,56","59,91","4,43M","0,73%"
"23.04.2024","60,12","60,36","60,59","59,93","4,70M","-0,71%"
"22.04.2024","60,55","61,43","61,86","60,55","4,77M","-1,08%"
"19.04.2024","61,21","60,75","61,60","60,41","5,92M","0,76%"
