"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.09.2024","54,05","52,41","54,22","52,39","4,05M","2,91%"
"20.09.2024","52,52","53,01","53,57","52,52","11,74M","-1,39%"
"19.09.2024","53,26","53,30","53,50","52,82","","-0,19%"
"18.09.2024","53,36","53,20","54,27","52,95","","0,08%"
"17.09.2024","53,32","53,00","53,48","52,76","","0,60%"
"16.09.2024","53,00","53,62","53,92","52,65","","-1,16%"
"13.09.2024","53,62","53,26","54,15","52,98","2,95M","0,58%"
"12.09.2024","53,31","53,35","54,28","52,64","6,48M","-0,36%"
"11.09.2024","53,50","52,61","53,81","52,61","6,06M","1,15%"
"10.09.2024","52,89","52,35","52,89","51,95","5,64M","0,84%"
"09.09.2024","52,45","52,85","53,03","52,07","4,80M","-0,81%"
"06.09.2024","52,88","53,79","53,91","52,72","4,77M","-2,06%"
"05.09.2024","53,99","53,02","54,10","52,86","3,81M","1,12%"
"04.09.2024","53,39","52,93","53,61","52,53","4,68M","1,12%"
"03.09.2024","52,80","52,38","53,11","52,20","4,76M","0,86%"
"02.09.2024","52,35","54,49","54,59","52,17","5,04M","-3,32%"
"30.08.2024","54,15","53,23","54,15","52,96","17,13M","1,14%"
"29.08.2024","53,54","53,75","54,02","53,35","6,43M","-0,85%"
"28.08.2024","54,00","54,01","54,57","53,69","3,55M","0,00%"
"27.08.2024","54,00","54,08","54,32","53,40","3,85M","-0,15%"
"26.08.2024","54,08","53,81","54,20","53,16","4,81M","0,50%"
"23.08.2024","53,81","54,50","54,75","53,77","4,68M","-0,72%"
"22.08.2024","54,20","53,45","54,78","53,45","6,93M","1,44%"
"21.08.2024","53,43","53,05","53,60","52,67","4,51M","0,60%"
"20.08.2024","53,11","52,28","53,42","51,92","6,14M","2,55%"
"19.08.2024","51,79","53,67","54,00","51,79","11,17M","-2,74%"
"16.08.2024","53,25","52,98","53,98","52,40","9,55M","1,04%"
"15.08.2024","52,70","51,97","53,08","51,88","6,95M","2,25%"
"14.08.2024","51,54","51,16","51,81","50,90","7,55M","0,80%"
"13.08.2024","51,13","50,98","52,29","50,82","10,20M","1,09%"
"12.08.2024","50,58","50,07","50,77","49,79","8,12M","1,77%"
"09.08.2024","49,70","49,77","50,10","48,69","7,69M","0,02%"
"08.08.2024","49,69","48,30","50,15","48,25","6,13M","2,84%"
"07.08.2024","48,32","49,12","49,14","48,17","4,74M","-1,33%"
"06.08.2024","48,97","49,31","49,31","48,32","5,32M","0,23%"
"05.08.2024","48,86","48,00","49,43","47,57","10,88M","-1,56%"
"02.08.2024","49,63","52,45","52,64","49,48","15,37M","-5,72%"
"01.08.2024","52,64","50,41","52,73","49,84","13,58M","4,30%"
"31.07.2024","50,47","47,04","50,69","46,96","21,85M","10,47%"
