"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"20/09/2024","36,32","35,93","-1,21","35,91","36,48","1,10B"
"19/09/2024","36,57","36,37","-0,27","36,14","36,65","866,42M"
"18/09/2024","36,62","36,47","-0,57","36,33","36,80","603,00M"
"17/09/2024","36,68","36,68","-0,24","36,43","36,75","641,20M"
"16/09/2024","36,83","36,77","-0,03","36,60","36,99","397,19M"
"13/09/2024","36,93","36,78","0,11","36,35","37,10","742,16M"
"12/09/2024","36,98","36,74","-1,10","36,47","37,05","528,07M"
"11/09/2024","37,15","37,15","0,19","36,91","37,30","729,81M"
"10/09/2024","36,82","37,08","0,00","36,79","37,15","493,18M"
"09/09/2024","36,79","37,08","0,84","36,74","37,21","505,62M"
"06/09/2024","37,07","36,77","-1,28","36,64","37,34","924,90M"
"05/09/2024","37,07","37,24","0,64","36,91","37,36","429,55M"
"04/09/2024","36,92","37,01","0,70","36,79","37,55","754,08M"
"03/09/2024","36,34","36,75","1,62","36,13","36,76","868,68M"
"02/09/2024","36,34","36,16","-0,79","36,11","36,47","308,61M"
"30/08/2024","36,94","36,45","-0,70","36,16","36,72","1,84B"
"29/08/2024","36,94","36,71","-1,10","36,71","37,12","820,14M"
"28/08/2024","36,11","37,11","2,16","35,98","37,21","1,17B"
"27/08/2024","36,28","36,33","0,11","36,08","36,46","969,79M"
"26/08/2024","36,28","36,29","0,22","36,01","36,39","520,10M"
"23/08/2024","36,54","36,21","-0,76","36,12","36,80","791,29M"
"22/08/2024","36,07","36,49","-0,92","36,05","36,50","776,39M"
"21/08/2024","37,08","36,83","-0,40","36,66","37,12","518,15M"
"20/08/2024","36,75","36,98","0,73","36,49","37,10","579,51M"
"19/08/2024","36,63","36,71","0,60","36,53","37,01","816,97M"
"16/08/2024","36,99","36,49","-0,84","36,39","37,23","1,26B"
"15/08/2024","36,42","36,80","1,59","36,31","36,84","1,19B"
"14/08/2024","35,35","36,22","2,47","35,35","36,53","1,96B"
"13/08/2024","34,61","35,35","2,83","34,47","35,35","1,38B"
"12/08/2024","34,43","34,37","0,14","34,23","34,58","711,80M"
"09/08/2024","33,57","34,32","2,70","33,52","34,32","813,12M"
"08/08/2024","33,62","33,42","-0,36","33,31","33,91","657,50M"
"07/08/2024","33,82","33,54","0,27","32,84","33,95","1,35B"
"06/08/2024","32,78","33,45","2,22","32,78","33,71","859,36M"
"05/08/2024","32,23","32,73","0,00","32,13","32,80","861,34M"
"02/08/2024","33,26","32,73","-1,26","32,57","33,31","790,15M"
"01/08/2024","33,79","33,14","-1,45","33,04","33,89","752,13M"
"31/07/2024","34,01","33,63","-1,40","33,60","34,16","850,96M"
"30/07/2024","34,17","34,11","-0,38","33,89","34,25","600,59M"
"29/07/2024","34,03","34,23","0,73","34,00","34,35","517,19M"
"26/07/2024","33,67","33,99","0,74","33,67","34,09","971,79M"
"25/07/2024","33,82","33,74","-0,44","33,59","33,96","1,17B"
"24/07/2024","34,05","33,89","-0,15","33,80","34,08","535,18M"
"23/07/2024","33,96","33,94","-0,15","33,85","34,15","573,48M"
"22/07/2024","34,03","33,99","-0,06","33,92","34,19","420,10M"
"19/07/2024","33,90","34,01","0,76","33,86","34,35","1,18B"
"18/07/2024","33,82","33,75","-0,47","33,52","33,96","527,00M"
"17/07/2024","33,47","33,91","1,09","33,36","34,00","549,62M"
"16/07/2024","33,31","33,54","0,60","33,27","33,60","651,09M"
"15/07/2024","33,25","33,34","0,39","33,13","33,42","655,75M"
"12/07/2024","33,40","33,21","-0,56","33,07","33,44","730,91M"
"11/07/2024","33,20","33,40","0,60","33,13","33,41","652,10M"
"10/07/2024","32,93","33,20","1,06","32,85","33,23","1,14B"
"09/07/2024","32,50","32,85","0,70","32,31","32,85","1,05B"
"08/07/2024","32,59","32,63","-0,18","32,36","32,76","421,29M"
"05/07/2024","32,76","32,69","0,06","32,37","32,83","537,47M"
"04/07/2024","32,92","32,67","0,15","32,66","32,99","328,19M"
"03/07/2024","32,04","32,62","0,61","32,52","33,04","1,72B"
"02/07/2024","32,14","32,42","1,30","31,99","32,42","1,36B"
"01/07/2024","n/d","32,00","-0,46","31,93","32,42","434,66M"
"28/06/2024","32,22","32,15","-0,09","31,79","32,28","927,24M"
"27/06/2024","32,19","32,18","0,19","32,02","32,35","483,14M"
"26/06/2024","31,97","32,12","-0,19","31,55","32,12","752,73M"
"25/06/2024","32,07","32,18","0,31","31,98","32,42","772,69M"
"24/06/2024","31,73","32,08","1,44","31,72","32,60","1,04B"
"21/06/2024","31,62","31,62","0,57","31,39","31,92","1,14B"
"20/06/2024","31,91","31,45","-0,68","31,40","31,99","642,38M"
"19/06/2024","31,28","31,66","0,78","31,14","31,82","985,14M"
"18/06/2024","31,38","31,42","-0,06","31,26","31,76","683,35M"
"17/06/2024","30,95","31,44","2,44","30,83","31,53","840,39M"
"14/06/2024","30,68","30,69","-0,10","30,49","30,91","472,50M"
"13/06/2024","31,04","30,72","-1,05","30,72","31,21","629,50M"
"12/06/2024","31,21","31,04","-0,16","30,70","31,28","1,08B"
"11/06/2024","30,92","31,09","1,12","30,79","31,23","460,76M"
"10/06/2024","31,03","30,75","-0,79","30,46","31,14","623,13M"
"07/06/2024","31,12","30,99","-1,41","30,87","31,34","722,63M"
"06/06/2024","31,05","31,44","1,27","31,00","31,53","395,06M"
"05/06/2024","30,99","31,04","-0,19","30,87","31,18","1,33B"
"04/06/2024","30,88","31,10","0,35","30,72","31,21","686,11M"
"03/06/2024","30,71","30,99","1,39","30,64","31,19","701,79M"
"31/05/2024","30,87","30,57","-1,02","30,54","30,94","1,05B"
"29/05/2024","30,89","30,88","-0,70","30,49","31,06","765,51M"
"28/05/2024","31,65","31,10","-0,54","31,03","31,66","781,54M"
"27/05/2024","31,38","31,27","-0,35","31,13","31,40","374,69M"
"24/05/2024","31,74","31,38","-0,96","31,26","31,76","646,03M"
"23/05/2024","31,92","31,68","-0,89","31,57","31,96","608,66M"
"22/05/2024","32,30","31,97","-1,55","31,84","32,36","671,00M"
"21/05/2024","32,68","32,47","-0,51","32,34","32,79","535,68M"
"20/05/2024","32,70","32,64","-0,30","32,51","32,90","512,04M"
"17/05/2024","32,67","32,74","0,03","32,57","32,87","607,92M"
"16/05/2024","32,97","32,73","-0,30","32,63","33,12","586,65M"
"15/05/2024","33,01","32,82","-0,27","32,69","33,07","1,61B"
"14/05/2024","32,33","32,91","1,09","32,32","33,06","995,63M"
"13/05/2024","32,32","32,56","1,22","32,23","32,69","760,46M"
"10/05/2024","31,85","32,16","1,15","31,83","32,53","752,95M"
"09/05/2024","32,40","31,80","-3,00","31,78","32,47","896,46M"
"08/05/2024","32,34","32,79","0,64","32,13","32,87","1,94B"
"07/05/2024","32,02","32,58","2,07","31,70","32,75","1,24B"
"06/05/2024","31,70","31,92","0,62","31,62","32,18","592,36M"
"03/05/2024","31,78","31,72","1,26","31,60","32,11","918,62M"
"02/05/2024","31,45","31,33","1,47","31,05","31,63","874,93M"
"30/04/2024","31,42","30,87","-1,88","30,87","31,70","1,43B"
"29/04/2024","31,75","31,46","-0,78","31,22","31,80","691,50M"
"26/04/2024","31,33","31,71","1,67","31,23","31,85","859,58M"
"25/04/2024","31,29","31,19","-0,56","30,96","31,50","634,96M"
"24/04/2024","31,50","31,37","-0,44","31,13","31,59","758,07M"
"23/04/2024","30,91","31,50","1,49","30,91","31,81","1,47B"
"22/04/2024","31,15","31,04","-0,06","30,80","31,25","673,81M"
"19/04/2024","31,29","31,06","-0,57","30,96","31,47","838,34M"
"18/04/2024","31,26","31,24","0,13","30,87","31,50","675,23M"
"17/04/2024","31,20","31,20","0,06","30,89","31,28","786,74M"
"16/04/2024","31,22","31,18","-0,75","30,89","31,38","956,58M"
"15/04/2024","31,96","31,42","-1,69","31,30","32,12","995,14M"
"12/04/2024","32,19","31,96","-1,04","31,89","32,22","729,59M"
"11/04/2024","32,21","32,29","-0,18","32,05","32,42","587,97M"
"10/04/2024","32,93","32,35","-2,11","32,17","32,98","871,45M"
"09/04/2024","32,86","33,05","1,05","32,76","33,11","584,90M"
"08/04/2024","32,45","32,71","1,50","32,38","33,01","556,87M"
"05/04/2024","32,29","32,22","-0,18","32,03","32,48","802,65M"
"04/04/2024","32,85","32,28","-1,32","32,10","33,07","2,45B"
"03/04/2024","32,92","32,71","-0,75","32,50","33,06","974,56M"
"02/04/2024","32,93","32,96","0,12","32,63","33,04","1,53B"
"01/04/2024","34,04","32,92","-3,41","32,91","34,25","1,04B"
"28/03/2024","34,01","34,08","0,17","33,84","34,23","566,63M"
"27/03/2024","33,75","34,02","0,55","33,60","34,12","565,51M"
"26/03/2024","33,14","33,84","1,99","33,04","33,84","898,63M"
"25/03/2024","33,10","33,18","0,00","33,01","33,20","404,01M"
"22/03/2024","33,55","33,18","-1,49","33,07","33,65","383,79M"
"21/03/2024","34,03","33,68","-1,03","33,51","34,16","1,13B"
"20/03/2024","33,96","34,03","0,20","33,80","34,23","592,63M"
"19/03/2024","33,99","33,96","0,15","33,88","34,08","355,51M"
"18/03/2024","33,90","33,91","0,41","33,62","34,18","353,82M"
"15/03/2024","34,10","33,78","-0,55","33,64","34,13","1,72B"
"14/03/2024","34,03","33,96","-0,06","33,79","34,16","1,85B"
"13/03/2024","33,55","33,98","0,99","33,45","34,15","1,55B"
"12/03/2024","33,70","33,65","0,41","33,38","33,85","1,29B"
"11/03/2024","33,26","33,51","0,50","33,24","33,51","673,12M"
"08/03/2024","32,94","33,35","0,92","32,91","33,50","576,95M"
"07/03/2024","33,30","33,04","-1,05","32,76","33,58","545,93M"
"06/03/2024","33,21","33,40","1,09","33,02","33,53","1,08B"
"05/03/2024","33,17","33,03","-0,09","32,86","33,29","599,04M"
"04/03/2024","33,33","33,06","-0,76","33,06","33,45","517,95M"
"01/03/2024","33,37","33,32","0,44","33,16","33,51","484,01M"
"29/02/2024","33,88","33,17","-2,47","32,98","33,96","1,41B"
"28/02/2024","33,91","34,01","0,06","33,68","34,10","452,75M"
"27/02/2024","33,84","33,99","1,22","33,62","34,06","532,75M"
"26/02/2024","33,51","33,58","0,29","33,39","33,66","454,92M"
"23/02/2024","33,43","33,48","0,29","33,10","33,60","758,06M"
"22/02/2024","33,91","33,39","-0,55","33,39","33,94","721,15M"
"21/02/2024","33,73","33,57","-0,56","33,57","33,90","957,98M"
"20/02/2024","33,01","33,76","2,18","33,01","34,02","1,85B"
"19/02/2024","32,72","33,04","1,10","32,69","33,06","930,32M"
"16/02/2024","32,82","32,68","-0,12","32,45","32,92","1,54B"
"15/02/2024","32,53","32,72","0,85","32,30","32,77","930,32M"
"14/02/2024","32,36","32,45","0,00","32,29","32,59","409,77M"
"09/02/2024","32,06","32,45","1,27","31,93","32,56","871,74M"
"08/02/2024","32,58","32,04","-1,97","32,04","32,97","1,58B"
"07/02/2024","32,65","32,68","-0,72","32,27","33,00","1,54B"
"06/02/2024","31,76","32,92","4,29","31,49","33,00","2,18B"
"05/02/2024","31,11","31,57","1,89","31,04","31,58","584,41M"
"02/02/2024","30,99","30,98","0,15","30,46","31,12","688,22M"
"01/02/2024","31,02","30,93","-0,21","30,51","31,28","715,90M"
"31/01/2024","30,71","31,00","1,08","30,71","31,52","743,16M"
"30/01/2024","30,80","30,67","-0,64","30,57","30,96","646,57M"
"29/01/2024","30,93","30,87","-0,52","30,69","31,09","270,99M"
"26/01/2024","30,62","31,03","1,48","30,59","31,12","447,48M"
"25/01/2024","30,81","30,57","-0,22","30,50","30,89","471,27M"
"24/01/2024","30,93","30,64","-0,46","30,55","31,27","724,48M"
"23/01/2024","30,81","30,78","0,46","30,42","30,85","658,49M"
"22/01/2024","31,16","30,64","-1,64","30,23","31,37","1,12B"
"19/01/2024","31,16","31,15","0,24","30,93","31,24","989,49M"
"18/01/2024","31,40","31,07","-0,42","30,96","31,40","702,48M"
"17/01/2024","31,11","31,21","0,06","31,05","31,36","842,94M"
"16/01/2024","31,40","31,19","-1,40","31,16","31,75","1,11B"
"15/01/2024","31,56","31,63","0,18","31,38","31,75","311,56M"
"12/01/2024","31,45","31,58","0,12","31,17","31,66","768,10M"
"11/01/2024","31,41","31,54","0,18","31,33","31,76","643,17M"
"10/01/2024","31,41","31,48","-0,09","31,39","31,72","317,87M"
"09/01/2024","31,40","31,51","-0,06","31,01","31,62","595,10M"
"08/01/2024","31,70","31,53","-1,07","31,48","31,84","373,24M"
"05/01/2024","31,12","31,87","2,34","31,09","31,87","877,57M"
"04/01/2024","31,35","31,14","-0,67","30,92","31,42","829,41M"
"03/01/2024","31,69","31,35","-1,10","31,35","31,93","585,41M"
"02/01/2024","32,05","31,70","-1,27","31,43","32,05","600,04M"
"28/12/2023","32,02","32,10","0,27","31,89","32,10","402,00M"
"27/12/2023","31,76","32,02","0,68","31,73","32,09","581,12M"
"26/12/2023","31,54","31,80","1,02","31,41","31,93","734,32M"
"22/12/2023","31,02","31,48","1,59","31,00","31,70","1,03B"
"21/12/2023","30,95","30,99","0,67","30,76","31,07","673,48M"
"20/12/2023","30,99","30,78","-1,03","30,70","31,16","703,78M"
"19/12/2023","31,21","31,10","0,06","31,03","31,52","746,43M"
"18/12/2023","31,03","31,08","0,49","30,88","31,22","863,39M"
"15/12/2023","31,11","30,93","-0,43","30,53","31,23","864,04M"
"14/12/2023","30,94","31,07","0,83","30,63","31,23","1,32B"
"13/12/2023","29,90","30,81","3,03","29,90","30,97","1,44B"
"12/12/2023","30,13","29,90","-0,50","29,67","30,19","443,09M"
