"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"20/09/2024","52,52","52,34","-0,44","52,02","52,67","373,32M"
"19/09/2024","52,51","52,57","-0,06","52,39","52,90","272,04M"
"18/09/2024","53,02","52,60","-1,29","52,43","53,51","209,23M"
"17/09/2024","52,83","53,29","0,51","52,53","53,54","206,70M"
"16/09/2024","54,33","53,02","-2,34","52,83","54,43","239,08M"
"13/09/2024","54,39","54,29","-0,18","54,16","54,98","145,42M"
"12/09/2024","54,75","54,39","-1,32","54,20","55,31","191,46M"
"11/09/2024","55,17","55,12","-0,14","54,58","55,45","381,60M"
"10/09/2024","54,11","55,20","2,00","54,05","55,56","299,19M"
"09/09/2024","54,36","54,12","-0,46","54,01","54,65","160,32M"
"06/09/2024","55,10","54,37","-1,65","54,24","55,42","442,25M"
"05/09/2024","55,10","55,28","-0,18","54,51","55,47","262,47M"
"04/09/2024","54,91","55,38","1,45","54,60","55,99","259,81M"
"03/09/2024","54,73","54,59","-0,91","54,11","55,11","431,85M"
"02/09/2024","54,73","55,09","0,16","54,73","55,98","178,19M"
"30/08/2024","56,08","55,00","-0,90","54,73","55,91","566,68M"
"29/08/2024","56,08","55,50","-1,03","55,20","56,40","253,26M"
"28/08/2024","55,50","56,08","0,83","55,40","56,26","271,14M"
"27/08/2024","55,30","55,62","0,80","54,80","55,80","533,68M"
"26/08/2024","56,20","55,18","-1,60","55,06","56,38","339,77M"
"23/08/2024","56,41","56,08","-0,59","55,65","56,53","285,95M"
"22/08/2024","56,44","56,41","-0,09","56,01","57,09","232,97M"
"21/08/2024","56,07","56,46","1,06","56,02","56,92","264,72M"
"20/08/2024","55,10","55,87","1,51","54,88","56,13","282,62M"
"19/08/2024","54,48","55,04","1,16","54,41","55,30","253,99M"
"16/08/2024","53,51","54,41","1,55","53,50","54,50","391,49M"
"15/08/2024","54,97","53,58","-2,05","53,28","54,99","412,72M"
"14/08/2024","54,51","54,70","0,29","54,36","55,00","359,21M"
"13/08/2024","54,58","54,54","0,28","54,27","55,27","404,72M"
"12/08/2024","54,50","54,39","-0,20","53,81","54,93","359,37M"
"09/08/2024","55,23","54,50","1,68","54,01","55,69","957,28M"
"08/08/2024","51,90","53,60","2,68","51,72","54,08","392,29M"
"07/08/2024","51,79","52,20","0,60","51,33","52,77","320,35M"
"06/08/2024","52,86","51,89","-2,15","51,68","52,94","556,42M"
"05/08/2024","52,14","53,03","0,06","51,71","53,16","314,89M"
"02/08/2024","53,00","53,00","-1,49","52,89","54,06","439,78M"
"01/08/2024","53,74","53,80","-0,11","53,34","54,67","274,86M"
"31/07/2024","53,43","53,86","0,82","52,71","54,04","301,77M"
"30/07/2024","52,80","53,42","1,21","52,18","53,73","377,85M"
"29/07/2024","51,72","52,78","1,91","51,45","53,26","271,60M"
"26/07/2024","52,50","51,79","-1,30","51,67","52,56","741,20M"
"25/07/2024","53,21","52,47","-1,06","52,40","54,16","663,78M"
"24/07/2024","53,22","53,03","-0,15","52,73","53,47","298,56M"
"23/07/2024","53,14","53,11","-0,32","52,91","53,89","286,09M"
"22/07/2024","53,65","53,28","-0,60","52,72","53,94","387,99M"
"19/07/2024","54,11","53,60","-0,52","53,43","54,11","601,48M"
"18/07/2024","54,32","53,88","-0,54","53,68","54,66","313,90M"
"17/07/2024","53,91","54,17","0,02","53,86","54,92","280,98M"
"16/07/2024","54,50","54,16","-0,07","54,05","55,19","302,51M"
"15/07/2024","52,58","54,20","3,63","52,58","54,81","767,73M"
"12/07/2024","53,05","52,30","-1,34","52,04","53,56","355,88M"
"11/07/2024","52,55","53,01","1,07","52,28","53,37","224,72M"
"10/07/2024","52,95","52,45","-0,72","52,05","53,08","457,23M"
"09/07/2024","53,23","52,83","-0,73","52,60","53,59","1,08B"
"08/07/2024","54,62","53,22","-2,79","53,14","54,69","660,15M"
"05/07/2024","56,89","54,75","-3,95","54,56","56,89","947,22M"
"04/07/2024","57,73","57,00","-0,45","56,00","57,73","539,47M"
"03/07/2024","57,50","57,26","-0,59","56,37","58,10","922,56M"
"02/07/2024","57,17","57,60","-0,09","57,06","58,09","795,42M"
"01/07/2024","n/d","57,65","1,12","57,07","57,93","382,79M"
"28/06/2024","57,50","57,01","0,02","56,23","57,56","853,12M"
"27/06/2024","59,09","57,00","12,18","56,51","59,09","2,07B"
"26/06/2024","49,59","50,81","2,23","49,53","51,44","483,09M"
"25/06/2024","49,75","49,70","0,14","49,50","50,26","233,43M"
"24/06/2024","48,75","49,63","1,60","48,75","49,90","308,23M"
"21/06/2024","48,15","48,85","1,45","47,92","49,13","650,51M"
"20/06/2024","48,98","48,15","-1,19","48,04","49,24","253,18M"
"19/06/2024","48,21","48,73","0,89","47,86","48,73","472,99M"
"18/06/2024","48,64","48,30","-0,43","48,16","49,12","300,36M"
"17/06/2024","48,90","48,51","-0,94","48,35","48,98","193,33M"
"14/06/2024","48,70","48,97","0,41","48,08","49,18","270,12M"
"13/06/2024","49,10","48,77","-0,47","48,75","49,39","234,41M"
"12/06/2024","49,22","49,00","0,16","48,25","49,64","451,42M"
"11/06/2024","49,80","48,92","-1,55","48,87","49,80","264,06M"
"10/06/2024","48,61","49,69","2,14","48,16","49,94","368,38M"
"07/06/2024","48,69","48,65","4,31","48,12","50,12","512,49M"
"06/06/2024","46,70","48,35","3,67","46,45","48,55","534,17M"
"05/06/2024","46,85","46,64","-0,55","46,38","46,93","688,11M"
"04/06/2024","46,95","46,90","-0,45","46,18","47,10","435,55M"
"03/06/2024","48,70","47,11","-3,26","46,87","48,80","537,96M"
"31/05/2024","49,30","48,70","-1,18","48,63","49,60","511,97M"
"29/05/2024","48,93","49,28","0,41","48,51","49,70","251,03M"
"28/05/2024","49,50","49,08","0,16","48,91","49,67","294,02M"
"27/05/2024","49,48","49,00","0,12","48,65","49,48","143,59M"
"24/05/2024","49,59","48,94","-2,32","48,80","50,24","554,33M"
"23/05/2024","48,59","50,10","3,68","47,74","50,90","1,12B"
"22/05/2024","49,02","48,32","-1,69","48,10","49,22","512,66M"
"21/05/2024","50,49","49,15","-3,72","48,90","50,61","885,74M"
"20/05/2024","51,78","51,05","-0,78","51,05","52,59","643,79M"
"17/05/2024","51,37","51,45","0,16","50,96","51,72","543,83M"
"16/05/2024","50,83","51,37","1,64","50,54","51,78","673,53M"
"15/05/2024","49,83","50,54","1,36","49,71","51,08","1,45B"
"14/05/2024","50,99","49,86","-1,66","49,80","51,49","659,13M"
"13/05/2024","51,76","50,70","-1,93","50,12","51,84","856,91M"
"10/05/2024","51,05","51,70","-1,90","50,05","53,35","940,53M"
"09/05/2024","52,47","52,70","0,73","51,70","53,00","987,28M"
"08/05/2024","53,22","52,32","0,27","52,25","54,23","4,55B"
"07/05/2024","59,43","52,18","-12,27","51,56","59,95","2,91B"
"06/05/2024","59,25","59,48","0,52","58,88","59,81","173,07M"
"03/05/2024","59,21","59,17","0,27","58,61","59,22","220,63M"
"02/05/2024","59,04","59,01","0,94","58,50","59,40","239,92M"
"30/04/2024","58,92","58,46","-0,75","58,10","59,21","433,25M"
"29/04/2024","59,58","58,90","-1,14","58,55","59,66","339,90M"
"26/04/2024","60,10","59,58","-0,53","59,46","60,67","237,55M"
"25/04/2024","60,18","59,90","-1,09","59,78","60,93","302,92M"
"24/04/2024","60,29","60,56","0,73","59,91","60,56","267,23M"
"23/04/2024","60,36","60,12","-0,71","59,93","60,59","283,24M"
"22/04/2024","61,43","60,55","-1,08","60,55","61,86","290,53M"
"19/04/2024","60,75","61,21","0,76","60,41","61,60","361,88M"
"18/04/2024","60,81","60,75","-0,10","60,23","61,03","242,12M"
"17/04/2024","61,25","60,81","-0,88","60,64","61,77","302,45M"
"16/04/2024","60,47","61,35","0,49","60,20","62,20","538,76M"
"15/04/2024","61,20","61,05","-0,25","60,40","61,80","485,62M"
"12/04/2024","61,21","61,20","-0,02","60,73","61,84","341,80M"
"11/04/2024","61,22","61,21","-0,89","61,02","61,65","381,31M"
"10/04/2024","62,29","61,76","-0,85","61,22","62,78","428,50M"
"09/04/2024","62,60","62,29","-0,50","61,67","63,29","377,16M"
"08/04/2024","62,80","62,60","-0,33","62,35","62,92","199,10M"
"05/04/2024","63,55","62,81","-1,68","62,22","63,76","272,14M"
"04/04/2024","64,55","63,88","-1,11","63,48","64,93","640,53M"
"03/04/2024","64,84","64,60","-0,97","64,09","65,48","314,20M"
"02/04/2024","64,62","65,23","0,52","64,30","65,51","697,92M"
"01/04/2024","64,00","64,89","1,42","64,00","65,30","354,36M"
"28/03/2024","63,79","63,98","0,28","63,28","64,08","290,29M"
"27/03/2024","63,05","63,80","1,32","62,93","63,95","348,79M"
"26/03/2024","61,56","62,97","2,19","61,40","63,14","801,02M"
"25/03/2024","62,15","61,62","-0,85","61,41","62,30","261,59M"
"22/03/2024","62,30","62,15","0,18","61,51","62,52","288,67M"
"21/03/2024","62,55","62,04","-0,03","61,57","63,00","390,41M"
"20/03/2024","63,00","62,06","-1,26","61,81","63,00","445,17M"
"19/03/2024","61,25","62,85","2,95","61,25","63,30","482,91M"
"18/03/2024","60,93","61,05","0,41","60,38","61,53","219,70M"
"15/03/2024","59,48","60,62","1,88","59,42","61,00","749,00M"
"14/03/2024","59,36","59,50","0,12","58,87","59,70","553,31M"
"13/03/2024","59,06","59,43","0,54","58,99","59,77","406,26M"
"12/03/2024","58,57","59,11","0,92","58,09","59,64","502,28M"
"11/03/2024","58,72","58,57","-0,98","58,30","59,54","306,10M"
"08/03/2024","58,68","59,15","0,56","57,96","59,27","479,15M"
"07/03/2024","57,93","58,82","0,91","57,59","58,96","253,04M"
"06/03/2024","58,55","58,29","-0,48","57,92","58,94","269,05M"
"05/03/2024","58,45","58,57","0,21","57,91","58,98","223,70M"
"04/03/2024","57,39","58,45","1,67","57,39","58,55","304,91M"
"01/03/2024","56,45","57,49","2,02","56,40","57,63","429,36M"
"29/02/2024","57,38","56,35","-1,80","56,24","57,80","492,89M"
"28/02/2024","56,76","57,38","0,99","56,55","58,04","335,97M"
"27/02/2024","56,40","56,82","1,25","55,86","57,66","347,89M"
"26/02/2024","55,41","56,12","1,54","54,93","56,15","198,13M"
"23/02/2024","56,00","55,27","-0,84","54,84","56,33","173,19M"
"22/02/2024","55,32","55,74","0,85","55,12","56,48","269,49M"
"21/02/2024","53,56","55,27","2,60","53,02","55,36","249,69M"
"20/02/2024","52,80","53,87","1,56","52,52","54,14","160,99M"
"19/02/2024","52,90","53,04","-0,02","52,23","53,29","92,52M"
"16/02/2024","52,43","53,05","1,36","52,11","53,48","255,76M"
"15/02/2024","52,25","52,34","0,17","51,77","52,44","111,71M"
"14/02/2024","52,78","52,25","-0,85","52,08","52,94","100,00M"
"09/02/2024","53,50","52,70","-1,40","52,42","53,77","214,44M"
"08/02/2024","53,80","53,45","-0,47","53,03","54,18","304,41M"
"07/02/2024","53,78","53,70","-0,02","53,23","54,08","330,58M"
"06/02/2024","51,62","53,71","3,79","51,62","53,74","255,92M"
"05/02/2024","51,00","51,75","0,80","51,00","51,97","140,03M"
"02/02/2024","51,19","51,34","0,47","50,71","51,68","209,39M"
"01/02/2024","51,62","51,10","-1,01","51,01","52,12","163,85M"
"31/01/2024","52,30","51,62","-0,92","51,57","52,70","215,62M"
"30/01/2024","50,53","52,10","2,56","50,52","52,26","253,28M"
"29/01/2024","52,02","50,80","-3,99","50,31","52,24","631,70M"
"26/01/2024","51,92","52,91","2,04","51,89","53,17","162,56M"
"25/01/2024","51,85","51,85","-0,04","51,81","52,50","98,64M"
"24/01/2024","52,51","51,87","-0,44","51,71","52,79","112,26M"
"23/01/2024","51,97","52,10","0,83","51,47","52,24","146,92M"
"22/01/2024","51,92","51,67","-0,25","51,42","52,07","102,16M"
"19/01/2024","51,55","51,80","0,52","50,98","51,92","337,68M"
"18/01/2024","52,72","51,53","-2,22","51,53","52,99","178,09M"
"17/01/2024","52,71","52,70","-0,42","52,60","53,13","136,95M"
"16/01/2024","53,70","52,92","-1,75","52,87","53,85","185,84M"
"15/01/2024","53,61","53,86","0,52","53,42","54,05","60,15M"
"12/01/2024","54,48","53,58","-1,07","53,49","55,23","172,29M"
"11/01/2024","53,85","54,16","0,73","53,21","54,37","208,83M"
"10/01/2024","54,24","53,77","-0,57","53,73","54,29","109,22M"
"09/01/2024","54,47","54,08","-1,22","53,98","54,82","161,91M"
"08/01/2024","53,71","54,75","1,30","53,35","54,75","136,94M"
"05/01/2024","54,29","54,05","-1,03","53,76","54,55","120,52M"
"04/01/2024","55,45","54,61","-1,51","54,56","55,69","105,00M"
"03/01/2024","54,80","55,45","0,56","54,76","55,80","185,40M"
"02/01/2024","55,70","55,14","-0,88","54,72","56,29","163,43M"
"28/12/2023","55,42","55,63","0,14","55,42","55,94","142,65M"
"27/12/2023","55,21","55,55","0,60","54,96","55,64","143,10M"
"26/12/2023","54,82","55,22","0,51","54,81","56,02","115,67M"
"22/12/2023","54,49","54,94","0,90","54,35","55,44","179,55M"
"21/12/2023","54,11","54,45","1,02","53,90","54,78","144,73M"
"20/12/2023","52,70","53,90","1,76","52,70","54,59","254,31M"
"19/12/2023","52,61","52,97","0,80","52,56","53,43","199,23M"
"18/12/2023","52,66","52,55","-0,15","52,06","52,85","212,04M"
"15/12/2023","52,41","52,63","0,42","52,31","53,46","389,76M"
"14/12/2023","52,15","52,41","1,08","51,66","52,60","272,82M"
"13/12/2023","51,24","51,85","1,75","50,95","52,06","229,53M"
"12/12/2023","51,09","50,96","-0,86","50,50","51,37","110,20M"
"11/12/2023","50,79","51,40","1,24","50,79","51,78","173,53M"
"08/12/2023","50,04","50,77","1,70","49,73","51,03","223,36M"
